City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,suva,-18.1416,178.4415,78.28,94,75,8.05,FJ,1714770730
212,yardimli,38.9206,48.2372,47.88,85,100,3.31,AZ,1714770731
213,grande prairie,55.1667,-118.8027,55.78,31,100,9.06,CA,1714770501
214,beau vallon,-20.4189,57.6953,74.21,81,61,5.32,MU,1714770732
215,saipan,15.1355,145.701,83.1,74,20,9.22,MP,1714770732
216,naze,28.3667,129.4833,69.84,86,46,8.61,JP,1714770733
217,dudinka,69.4058,86.1778,8.67,95,99,7.0,RU,1714770733
218,keflavik,64.0049,-22.5624,43.23,81,75,17.27,IS,1714770733
219,st. john's,47.5649,-52.7093,40.28,95,100,17.0,CA,1714770734
220,alaghsas,17.0187,8.0168,92.59,9,37,12.28,NE,1714770734
221,hamilton,39.1834,-84.5333,73.6,85,100,6.91,US,1714770735
222,chabahar,25.2919,60.643,81.41,75,0,19.62,IR,1714770735
223,anadyr,64.75,177.4833,23.5,62,0,24.61,RU,1714770736
224,nabire,-3.3667,135.4833,76.46,93,99,2.15,ID,1714770736
225,spring creek,40.7266,-115.5859,55.81,28,0,3.0,US,1714770736
226,cill airne,52.05,-9.5167,48.42,93,100,1.23,IE,1714770737
227,morant bay,17.8815,-76.4093,80.22,80,83,10.16,JM,1714770737
228,gustavsberg,59.3268,18.3898,48.33,80,55,3.58,SE,1714770738
229,frolovo,49.7713,43.6622,34.39,41,2,13.02,RU,1714770738
230,acapulco de juarez,16.8634,-99.8901,85.82,70,75,13.8,MX,1714770549
231,banjar,-8.19,114.9675,75.96,91,48,6.82,ID,1714770739
232,tulu bolo,8.6667,38.2167,65.34,71,99,2.62,ET,1714770739
233,victoriaville,46.0501,-71.9658,59.92,64,100,5.53,CA,1714770740
234,cacheu,12.2706,-16.1658,79.84,54,0,8.23,GW,1714770740
235,merritt island,28.5392,-80.672,86.09,64,20,11.5,US,1714770741
236,altus,34.6381,-99.334,81.91,65,75,12.66,US,1714770742
237,souillac,-20.5167,57.5167,72.36,84,45,4.43,MU,1714770742
238,prince george,53.9166,-122.753,62.26,40,58,5.99,CA,1714770592
239,krutinka,56.0055,71.5113,39.69,68,100,15.19,RU,1714770743
240,kone,-21.0595,164.8658,72.37,62,0,4.92,NC,1714770744
241,hozat,39.1083,39.2213,49.23,71,85,3.98,TR,1714770744
242,prineville,44.2999,-120.8345,67.12,29,0,17.27,US,1714770745
243,saint-pierre,-21.3393,55.4781,74.88,78,75,8.05,RE,1714770745
244,mermoz boabab,14.7065,-17.4758,79.36,77,0,20.89,SN,1714770745
245,palikir - national government center,6.9248,158.1611,81.45,89,100,8.05,FM,1714770746
246,dakhla,23.6848,-15.958,64.06,87,0,21.32,EH,1714770747
247,tiksi,71.6872,128.8694,16.72,95,49,5.41,RU,1714770747
248,geraldton,-28.7667,114.6,59.41,77,63,9.22,AU,1714770604
249,ballycastle,55.2044,-6.243,53.55,86,86,3.78,GB,1714770748
250,gamba,-2.65,10.0,78.98,90,100,3.98,GA,1714770748
251,north ward,-19.2454,146.8075,66.11,88,26,0.0,AU,1714770749
252,tura,25.5198,90.2201,72.68,58,7,4.9,IN,1714770749
253,kiama,-34.6833,150.8667,61.0,95,100,1.99,AU,1714770750
254,nar'yan-mar,67.6713,53.087,21.11,92,100,5.01,RU,1714770750
255,jishui,33.7333,115.4,56.8,82,100,6.82,CN,1714770751
256,acajutla,13.5928,-89.8275,87.6,69,47,11.7,SV,1714770751
257,coquimbo,-29.9533,-71.3436,58.37,68,0,10.0,CL,1714770751
258,cutral-co,-38.9469,-69.2089,55.9,10,100,13.0,AR,1714770752
259,borogontsy,62.6683,131.1683,34.63,82,95,4.21,RU,1714770752
260,mossel bay,-34.1831,22.146,66.36,70,52,12.86,ZA,1714770753
261,la rinconada,37.4873,-5.9826,64.58,56,0,1.14,ES,1714770753
262,qamdo,31.1667,97.2333,28.09,52,2,4.05,CN,1714770754
263,san antonio de pale,-1.4014,5.6325,81.99,78,100,11.21,GQ,1714770754
264,carboneras,37.0015,-1.9213,62.31,58,49,4.72,ES,1714770755
265,statesboro,32.4488,-81.7832,89.4,40,40,0.0,US,1714770755
266,hobyo,5.3505,48.5268,84.0,78,99,12.95,SO,1714770756
267,causeni,46.6442,29.4139,65.43,54,78,13.91,MD,1714770756
268,koszeg,47.3892,16.541,54.1,97,100,6.69,HU,1714770756
269,ilhabela,-23.7781,-45.3581,74.46,88,5,2.06,BR,1714770757
270,buritizeiro,-17.3511,-44.9622,77.52,43,0,1.66,BR,1714770757
271,yakeshi,49.2833,120.7333,46.04,38,100,21.92,CN,1714770758
272,louiseville,46.2559,-72.9415,66.45,70,100,9.48,CA,1714770758
273,morehead city,34.7229,-76.726,82.45,71,0,9.22,US,1714770759
274,nang rong,14.6377,102.7914,80.78,60,47,6.31,TH,1714770760
275,alofi,-19.0595,-169.9187,84.09,79,75,8.05,NU,1714770760
276,teguise,29.0605,-13.564,62.82,72,20,13.8,ES,1714770761
277,hanzhong,33.0728,107.0303,51.67,96,87,2.1,CN,1714770761
278,sosnogorsk,63.6023,53.8817,12.58,99,95,3.09,RU,1714770762
279,aasiaat,68.7098,-52.8699,17.76,77,52,3.22,GL,1714770762
280,beni,0.5,29.4667,64.99,98,100,2.19,CD,1714770762
281,arfoud,31.4348,-4.2375,77.29,7,0,9.71,MA,1714770763
282,ash shatrah,31.4117,46.1742,73.09,59,0,10.29,IQ,1714770764
283,kalghatgi,15.1833,74.9667,74.84,63,76,2.8,IN,1714770764
284,n'zeto,-7.2312,12.8666,78.85,91,12,7.52,AO,1714770765
285,grass valley,39.2191,-121.0611,73.96,39,0,8.05,US,1714770528
286,yamethin,20.4333,96.15,78.1,63,0,4.85,MM,1714770766
287,gobernador roca,-27.1864,-55.4643,66.76,100,100,1.03,AR,1714770766
288,island harbour,50.724,-1.2758,52.02,79,100,3.0,GB,1714770767
289,diebougou,10.9667,-3.25,95.0,30,50,5.82,BF,1714770767
290,la ronge,55.1001,-105.2842,42.24,59,100,2.66,CA,1714770767
291,paradip garh,20.3167,86.6167,82.08,92,9,8.95,IN,1714770768
292,hawaiian paradise park,19.5933,-154.9731,75.87,90,100,1.99,US,1714770768
293,bom jesus,-9.0744,-44.3586,84.22,54,100,2.84,BR,1714770769
294,chadron,42.8294,-102.9999,40.96,79,100,14.97,US,1714770769
295,galappo,-4.2667,35.85,67.28,78,100,3.65,TZ,1714770770
296,tromso,69.6496,18.957,39.22,87,75,4.61,NO,1714770770
297,selfoss,63.9331,-20.9971,42.04,88,100,9.33,IS,1714770771
298,cervantes,-39.05,-67.3833,60.84,20,15,16.6,AR,1714770771
299,canyon,34.9803,-101.9188,73.69,73,49,14.0,US,1714770772
300,frutal,-20.0247,-48.9406,81.19,44,3,6.08,BR,1714770772
301,jaisalmer,26.9147,70.9181,89.42,24,100,15.35,IN,1714770773
302,ghanzi,-21.5667,21.7833,64.06,29,0,9.46,BW,1714770773
303,mansa,29.9833,75.3833,83.86,15,100,5.03,IN,1714770774
304,lianjiang,21.6467,110.2817,73.99,98,28,9.13,CN,1714770774
305,kayenta,36.7278,-110.2546,69.21,16,0,17.2,US,1714770775
306,valparaiso,-33.0393,-71.6273,58.64,51,0,9.22,CL,1714770775
307,queenstown,-31.8976,26.8753,62.46,33,0,5.88,ZA,1714770776
308,lanxi,29.2195,119.477,63.28,97,100,4.65,CN,1714770776
309,tuy hoa,13.0833,109.3,76.3,93,36,2.46,VN,1714770777
310,ulanhot,46.0833,122.0833,59.97,30,100,2.04,CN,1714770777
311,buena vista,43.4203,-83.8986,71.65,81,100,5.75,US,1714770778
312,kenai,60.5544,-151.2583,50.09,70,100,13.8,US,1714770778
